experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_0,100,locpc,True,"['23', '7', '26', '77']","['7', '23', '26', '47', '77']",2365
100_0,100,ldecc,True,"['23', '77', '26']","['7', '23', '26', '47', '77']",516
100_0,100,CMB,True,"['23', '42', '27', '77', '59', '91', '56']","['7', '23', '26', '47', '77']",18532
100_0,100,MBbyMB,True,"['23', '54', '87', '16', '27', '77', '91', '32', '56', '43']","['7', '23', '26', '47', '77']",24821
100_1,100,locpc,True,"['80', '36', '40']",['36'],834
100_1,100,ldecc,True,[],['36'],13578
100_1,100,CMB,True,"['25', '80', '66', '37', '15', '16', '9', '40']",['36'],23499
100_1,100,MBbyMB,True,"['25', '43', '80', '66', '19']",['36'],22532
100_2,100,locpc,True,['72'],['72'],1118
100_2,100,ldecc,True,['72'],['72'],4791
100_2,100,CMB,True,"['53', '57', '68']",['72'],3281
100_2,100,MBbyMB,True,[],['72'],5027
100_3,100,locpc,True,"['58', '57', '50', '18', '36', '12']","['12', '18', '36', '50', '57', '58']",3641
100_3,100,ldecc,True,"['58', '50', '57', '18', '36', '12']","['12', '18', '36', '50', '57', '58']",1243
100_3,100,CMB,True,"['18', '30', '35', '54', '57', '36', '99', '7']","['12', '18', '36', '50', '57', '58']",4572
100_3,100,MBbyMB,True,"['18', '57', '80', '36', '85', '45', '4', '48', '99']","['12', '18', '36', '50', '57', '58']",19741
100_4,100,locpc,True,"['36', '93', '12', '52', '9']","['9', '12', '36', '52', '93']",2732
100_4,100,ldecc,True,"['52', '36', '9', '12', '93']","['9', '12', '36', '52', '93']",743
100_4,100,CMB,True,"['5', '46', '63', '68', '74', '90', '57', '42', '86', '17']","['9', '12', '36', '52', '93']",5842
100_4,100,MBbyMB,True,[],"['9', '12', '36', '52', '93']",39285
100_5,100,locpc,True,"['48', '85', '86']","['48', '86']",939
100_5,100,ldecc,False,,"['48', '86']",14451
100_5,100,CMB,True,['34'],"['48', '86']",22599
100_5,100,MBbyMB,True,"['60', '68', '48', '0']","['48', '86']",4886
100_6,100,locpc,True,"['35', '87', '43']","['35', '43']",1877
100_6,100,ldecc,True,"['9', '35', '5', '43']","['35', '43']",8859
100_6,100,CMB,True,"['4', '5', '92', '37', '27', '9', '96']","['35', '43']",25286
100_6,100,MBbyMB,True,[],"['35', '43']",25224
100_7,100,locpc,True,"['70', '96', '20']","['70', '96']",1159
100_7,100,ldecc,False,,"['70', '96']",18034
100_7,100,CMB,True,"['75', '96', '12', '50']","['70', '96']",8059
100_7,100,MBbyMB,True,"['75', '96']","['70', '96']",8271
100_8,100,locpc,True,"['89', '47']","['47', '89']",667
100_8,100,ldecc,True,['89'],"['47', '89']",316
100_8,100,CMB,True,"['76', '78', '10', '89']","['47', '89']",4099
100_8,100,MBbyMB,True,"['78', '10', '26', '89', '88']","['47', '89']",8534
100_9,100,locpc,True,"['50', '40', '91', '84', '5', '90']","['5', '40', '50', '84', '90', '91']",4415
100_9,100,ldecc,True,"['5', '50', '84', '90', '40', '91']","['5', '40', '50', '84', '90', '91']",620
100_9,100,CMB,True,"['17', '40', '91', '31', '15', '48', '59', '90', '76', '78']","['5', '40', '50', '84', '90', '91']",10560
100_9,100,MBbyMB,True,"['2', '35', '40', '85', '91', '25', '90', '63', '38', '78']","['5', '40', '50', '84', '90', '91']",51203
100_10,100,locpc,True,"['14', '77', '98', '41', '13']","['13', '14']",2283
100_10,100,ldecc,False,,"['13', '14']",15172
100_10,100,CMB,True,"['15', '23', '41', '60', '74', '67', '3']","['13', '14']",17523
100_10,100,MBbyMB,True,"['23', '60']","['13', '14']",16049
100_11,100,locpc,True,"['16', '31', '15']","['15', '16', '31']",2311
100_11,100,ldecc,True,"['16', '15', '31']","['15', '16', '31']",9847
100_11,100,CMB,True,"['1', '18', '86', '31', '35', '47']","['15', '16', '31']",1828
100_11,100,MBbyMB,True,"['18', '40', '86', '31', '15', '61']","['15', '16', '31']",13608
100_12,100,locpc,True,"['25', '53', '89']","['53', '89']",550
100_12,100,ldecc,False,,"['53', '89']",13916
100_12,100,CMB,True,"['89', '95', '13', '83']","['53', '89']",952
100_12,100,MBbyMB,True,"['89', '95']","['53', '89']",6584
100_13,100,locpc,True,"['44', '38', '76']","['38', '44', '76']",1392
100_13,100,ldecc,True,"['44', '76', '38']","['38', '44', '76']",374
100_13,100,CMB,True,"['29', '44', '60', '76', '71', '17']","['38', '44', '76']",1715
100_13,100,MBbyMB,True,"['29', '70', '44', '60', '27', '5', '76', '71']","['38', '44', '76']",12057
100_14,100,locpc,True,"['14', '3', '0']","['0', '3']",650
100_14,100,ldecc,False,,"['0', '3']",14712
100_14,100,CMB,True,"['0', '70', '99', '71', '25', '20']","['0', '3']",13288
100_14,100,MBbyMB,True,"['0', '63', '70', '23', '72']","['0', '3']",15255
100_15,100,locpc,True,"['21', '46', '54']","['46', '54']",1097
100_15,100,ldecc,False,,"['46', '54']",14554
100_15,100,CMB,True,"['6', '20', '54', '55']","['46', '54']",1286
100_15,100,MBbyMB,True,"['39', '62', '28', '6', '54', '26']","['46', '54']",10371
100_16,100,locpc,True,"['79', '48']","['48', '79']",2632
100_16,100,ldecc,True,"['48', '79']","['48', '79']",424
100_16,100,CMB,True,"['48', '79', '95']","['48', '79']",4805
100_16,100,MBbyMB,True,"['48', '44', '79', '17', '88', '70', '84']","['48', '79']",8310
100_17,100,locpc,True,"['94', '74', '82']","['74', '82']",2438
100_17,100,ldecc,True,['82'],"['74', '82']",9354
100_17,100,CMB,True,"['74', '31', '11', '34']","['74', '82']",8374
100_17,100,MBbyMB,True,"['83', '52', '42', '11', '34']","['74', '82']",30141
100_18,100,locpc,True,"['85', '27']","['27', '85']",1044
100_18,100,ldecc,True,"['85', '27']","['27', '85']",320
100_18,100,CMB,True,"['87', '27', '85', '20']","['27', '85']",6061
100_18,100,MBbyMB,True,"['64', '6', '27', '85']","['27', '85']",10200
100_19,100,locpc,True,"['7', '95', '97', '73']","['7', '73']",1236
100_19,100,ldecc,False,,"['7', '73']",14129
100_19,100,CMB,True,"['97', '73', '92']","['7', '73']",1259
100_19,100,MBbyMB,True,"['97', '73', '92']","['7', '73']",4986
100_20,100,locpc,True,"['60', '69', '25']","['25', '60', '69']",2190
100_20,100,ldecc,True,"['25', '60', '69']","['25', '60', '69']",346
100_20,100,CMB,True,"['2', '8', '9', '6', '23', '47', '62', '40']","['25', '60', '69']",3131
100_20,100,MBbyMB,True,[],"['25', '60', '69']",24489
100_21,100,locpc,True,"['59', '0', '94']","['0', '59', '94']",649
100_21,100,ldecc,True,"['0', '94', '59']","['0', '59', '94']",278
100_21,100,CMB,True,"['6', '71', '94']","['0', '59', '94']",1006
100_21,100,MBbyMB,True,"['71', '79', '94', '27']","['0', '59', '94']",2596
100_22,100,locpc,True,"['29', '61', '65']","['29', '61', '65']",1188
100_22,100,ldecc,True,"['61', '29', '65']","['29', '61', '65']",390
100_22,100,CMB,True,"['29', '23', '54', '55']","['29', '61', '65']",266
100_22,100,MBbyMB,True,"['29', '54']","['29', '61', '65']",11355
100_23,100,locpc,True,"['77', '94']","['77', '94']",908
100_23,100,ldecc,True,"['94', '77', '59']","['77', '94']",421
100_23,100,CMB,True,"['94', '77', '58']","['77', '94']",4202
100_23,100,MBbyMB,True,"['41', '94', '48', '77', '58', '4', '17']","['77', '94']",5543
100_24,100,locpc,True,"['32', '92', '34', '9']","['34', '92']",1577
100_24,100,ldecc,True,[],"['34', '92']",18936
100_24,100,CMB,True,['57'],"['34', '92']",118803
100_24,100,MBbyMB,True,"['9', '23', '31', '53', '66', '92', '18', '36', '7', '28', '97', '5']","['34', '92']",31279
100_25,100,locpc,True,"['37', '61']","['37', '61']",1257
100_25,100,ldecc,True,"['61', '37']","['37', '61']",491
