dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.96,160.88
10,ldecc,0.96,84.69
10,pc,0.98,355.59
10,CMB,0.93,312.93
10,MBbyMB,0.95,410.14
20,locpc,0.99,315.23
20,ldecc,0.93,205.35
20,pc,1.0,1267.21
20,CMB,0.98,778.93
20,MBbyMB,1.0,1007.11
30,locpc,1.0,543.92
30,ldecc,0.9,391.06
30,pc,1.0,2993.88
30,CMB,0.98,1114.69
30,MBbyMB,0.99,2265.05
40,locpc,0.99,747.08
40,ldecc,0.82,1009.32
40,pc,0.99,4699.47
40,CMB,1.0,2392.83
40,MBbyMB,1.0,3610.9
50,locpc,1.0,817.11
50,ldecc,0.86,1224.4
50,pc,1.0,6511.88
50,CMB,0.99,3627.27
50,MBbyMB,1.0,4138.78
